Product code,Station number,Year,Month,Rainfall,Quality
IDCJAC0001,23034,1964,11,94.9,Y
IDCJAC0001,23034,1964,12,17.5,Y
IDCJAC0001,23034,1965,1,7.9,Y
IDCJAC0001,23034,1965,2,0.3,Y
IDCJAC0001,23034,1965,3,10.2,Y
IDCJAC0001,23034,1965,4,25.4,Y
IDCJAC0001,23034,1965,5,64.6,Y
IDCJAC0001,23034,1965,6,26.3,Y
IDCJAC0001,23034,1965,7,56.6,Y
IDCJAC0001,23034,1965,8,44.4,Y
IDCJAC0001,23034,1965,9,30.7,Y
IDCJAC0001,23034,1965,10,3.1,Y
IDCJAC0001,23034,1965,11,20.3,Y
IDCJAC0001,23034,1965,12,36.4,Y
IDCJAC0001,23034,1966,1,6.5,Y
IDCJAC0001,23034,1966,2,23.6,Y
IDCJAC0001,23034,1966,3,20.1,Y
IDCJAC0001,23034,1966,4,5,Y
IDCJAC0001,23034,1966,5,52.6,Y
IDCJAC0001,23034,1966,6,73.8,Y
IDCJAC0001,23034,1966,7,88.7,Y
IDCJAC0001,23034,1966,8,33.1,Y
IDCJAC0001,23034,1966,9,56.4,Y
IDCJAC0001,23034,1966,10,28.2,Y
IDCJAC0001,23034,1966,11,19.3,Y
IDCJAC0001,23034,1966,12,62.9,Y
IDCJAC0001,23034,1967,1,16.4,Y
IDCJAC0001,23034,1967,2,35.4,Y
IDCJAC0001,23034,1967,3,2.7,Y
IDCJAC0001,23034,1967,4,8.6,Y
IDCJAC0001,23034,1967,5,27.2,Y
IDCJAC0001,23034,1967,6,7.2,Y
IDCJAC0001,23034,1967,7,48.5,Y
IDCJAC0001,23034,1967,8,55.1,Y
IDCJAC0001,23034,1967,9,19.1,Y
IDCJAC0001,23034,1967,10,15.1,Y
IDCJAC0001,23034,1967,11,1.1,Y
IDCJAC0001,23034,1967,12,8.8,Y
IDCJAC0001,23034,1968,1,32.7,Y
IDCJAC0001,23034,1968,2,36.3,Y
IDCJAC0001,23034,1968,3,42.4,Y
IDCJAC0001,23034,1968,4,40.8,Y
IDCJAC0001,23034,1968,5,90.8,Y
IDCJAC0001,23034,1968,6,53.8,Y
IDCJAC0001,23034,1968,7,53.3,Y
IDCJAC0001,23034,1968,8,62.4,Y
IDCJAC0001,23034,1968,9,17.1,Y
IDCJAC0001,23034,1968,10,54.9,Y
IDCJAC0001,23034,1968,11,44,Y
IDCJAC0001,23034,1968,12,42.2,Y
IDCJAC0001,23034,1969,1,6.9,Y
IDCJAC0001,23034,1969,2,103.2,Y
IDCJAC0001,23034,1969,3,15.9,Y
IDCJAC0001,23034,1969,4,27.5,Y
IDCJAC0001,23034,1969,5,85.8,Y
IDCJAC0001,23034,1969,6,34.1,Y
IDCJAC0001,23034,1969,7,61.3,Y
IDCJAC0001,23034,1969,8,42.9,Y
IDCJAC0001,23034,1969,9,43.4,Y
IDCJAC0001,23034,1969,10,0.8,Y
IDCJAC0001,23034,1969,11,17.9,Y
IDCJAC0001,23034,1969,12,33.1,Y
IDCJAC0001,23034,1970,1,22.4,Y
IDCJAC0001,23034,1970,2,0.5,Y
IDCJAC0001,23034,1970,3,7,Y
IDCJAC0001,23034,1970,4,58.9,Y
IDCJAC0001,23034,1970,5,58.6,Y
IDCJAC0001,23034,1970,6,51.6,Y
IDCJAC0001,23034,1970,7,48.5,Y
IDCJAC0001,23034,1970,8,66.8,Y
IDCJAC0001,23034,1970,9,32.1,Y
IDCJAC0001,23034,1970,10,6.5,Y
IDCJAC0001,23034,1970,11,30.1,Y
IDCJAC0001,23034,1970,12,36.4,Y
IDCJAC0001,23034,1971,1,4.8,Y
IDCJAC0001,23034,1971,2,0.3,Y
IDCJAC0001,23034,1971,3,35.9,Y
IDCJAC0001,23034,1971,4,158.8,Y
IDCJAC0001,23034,1971,5,81.7,Y
IDCJAC0001,23034,1971,6,49.1,Y
IDCJAC0001,23034,1971,7,49.7,Y
IDCJAC0001,23034,1971,8,65.7,Y
IDCJAC0001,23034,1971,9,52.8,Y
IDCJAC0001,23034,1971,10,25,Y
IDCJAC0001,23034,1971,11,48,Y
IDCJAC0001,23034,1971,12,25.9,Y
IDCJAC0001,23034,1972,1,51.3,Y
IDCJAC0001,23034,1972,2,33.5,Y
IDCJAC0001,23034,1972,3,0,Y
IDCJAC0001,23034,1972,4,32.9,Y
IDCJAC0001,23034,1972,5,10.9,Y
IDCJAC0001,23034,1972,6,25.2,Y
IDCJAC0001,23034,1972,7,60.4,Y
IDCJAC0001,23034,1972,8,55.6,Y
IDCJAC0001,23034,1972,9,35.9,Y
IDCJAC0001,23034,1972,10,19.9,Y
IDCJAC0001,23034,1972,11,12.7,Y
IDCJAC0001,23034,1972,12,26.4,Y
IDCJAC0001,23034,1973,1,24,Y
IDCJAC0001,23034,1973,2,55,Y
IDCJAC0001,23034,1973,3,33.3,Y
IDCJAC0001,23034,1973,4,62.3,Y
IDCJAC0001,23034,1973,5,66.9,Y
IDCJAC0001,23034,1973,6,80.8,Y
IDCJAC0001,23034,1973,7,82.6,Y
IDCJAC0001,23034,1973,8,45.7,Y
IDCJAC0001,23034,1973,9,55.4,Y
IDCJAC0001,23034,1973,10,64.3,Y
IDCJAC0001,23034,1973,11,24.9,Y
IDCJAC0001,23034,1973,12,30.7,Y
IDCJAC0001,23034,1974,1,57,Y
IDCJAC0001,23034,1974,2,76.2,Y
IDCJAC0001,23034,1974,3,2.2,Y
IDCJAC0001,23034,1974,4,64.3,Y
IDCJAC0001,23034,1974,5,62.2,Y
IDCJAC0001,23034,1974,6,31,Y
IDCJAC0001,23034,1974,7,90,Y
IDCJAC0001,23034,1974,8,38.6,Y
IDCJAC0001,23034,1974,9,57.4,Y
IDCJAC0001,23034,1974,10,90.4,Y
IDCJAC0001,23034,1974,11,3.6,Y
IDCJAC0001,23034,1974,12,13.4,Y
IDCJAC0001,23034,1975,1,23.2,Y
IDCJAC0001,23034,1975,2,3.4,Y
IDCJAC0001,23034,1975,3,73.7,Y
IDCJAC0001,23034,1975,4,15.6,Y
IDCJAC0001,23034,1975,5,84.8,Y
IDCJAC0001,23034,1975,6,18.7,Y
IDCJAC0001,23034,1975,7,91.6,Y
IDCJAC0001,23034,1975,8,36.2,Y
IDCJAC0001,23034,1975,9,55.9,Y
IDCJAC0001,23034,1975,10,61,Y
IDCJAC0001,23034,1975,11,18.8,Y
IDCJAC0001,23034,1975,12,5.2,Y
IDCJAC0001,23034,1976,1,11.2,Y
IDCJAC0001,23034,1976,2,80.2,Y
IDCJAC0001,23034,1976,3,0.8,Y
IDCJAC0001,23034,1976,4,18.9,Y
IDCJAC0001,23034,1976,5,21.2,Y
IDCJAC0001,23034,1976,6,41,Y
IDCJAC0001,23034,1976,7,20,Y
IDCJAC0001,23034,1976,8,39.4,Y
IDCJAC0001,23034,1976,9,16.8,Y
IDCJAC0001,23034,1976,10,49,Y
IDCJAC0001,23034,1976,11,17,Y
IDCJAC0001,23034,1976,12,22.2,Y
IDCJAC0001,23034,1977,1,39.4,Y
IDCJAC0001,23034,1977,2,11.4,Y
IDCJAC0001,23034,1977,3,32.8,Y
IDCJAC0001,23034,1977,4,14,Y
IDCJAC0001,23034,1977,5,31.2,Y
IDCJAC0001,23034,1977,6,40.4,Y
IDCJAC0001,23034,1977,7,22,Y
IDCJAC0001,23034,1977,8,21.6,Y
IDCJAC0001,23034,1977,9,38,Y
IDCJAC0001,23034,1977,10,42.8,Y
IDCJAC0001,23034,1977,11,25.6,Y
IDCJAC0001,23034,1977,12,12.8,Y
IDCJAC0001,23034,1978,1,1.8,Y
IDCJAC0001,23034,1978,2,4.4,Y
IDCJAC0001,23034,1978,3,7,Y
IDCJAC0001,23034,1978,4,36.8,Y
IDCJAC0001,23034,1978,5,47.4,Y
IDCJAC0001,23034,1978,6,84.8,Y
IDCJAC0001,23034,1978,7,98.2,Y
IDCJAC0001,23034,1978,8,59.6,Y
IDCJAC0001,23034,1978,9,79.2,Y
IDCJAC0001,23034,1978,10,20.8,Y
IDCJAC0001,23034,1978,11,43.8,Y
